frac_migration1  frac_migration2  logmhcrit  prob1  prob2  ssfr1  ssfr2  lnprob
0.9931  0.8383  12.3360  0.6454  0.1128  -11.0320  -9.2560  -0.0607
0.3036  0.2675  12.2881  0.5328  0.5999  -10.9771  -9.3533  -0.1125
0.5649  0.8032  12.3291  0.3075  0.9705  -10.9949  -9.4760  -0.2491
0.7271  0.5307  12.4926  0.2541  0.9927  -11.0476  -9.9536  -0.3686
0.1240  0.6822  12.3751  0.1317  0.8545  -11.0609  -9.3438  -0.1299
0.7275  0.4027  12.3133  0.6959  0.1385  -11.0071  -9.6976  -0.0899
0.9336  0.6494  12.6099  0.1445  0.5600  -11.1089  -9.3763  -0.2249
0.4365  0.5894  12.7137  0.8214  0.9548  -10.8019  -9.1830  -0.1328
0.6144  0.8651  12.2837  0.4517  0.4948  -10.7655  -9.0928  -0.0715
0.9140  0.3787  12.0225  0.5668  0.3796  -11.2273  -9.7332  -inf
0.2817  0.9617  12.6282  0.0151  0.5338  -10.8221  -9.6149  -0.1203
0.1784  0.8811  12.5817  0.7563  0.1405  -10.8582  -9.0519  -0.3893
0.3023  0.4542  12.7462  0.6514  0.7973  -11.1194  -9.7325  -0.0951
0.4659  0.6115  12.6515  0.0831  0.3853  -11.0770  -9.9418  -0.0769
0.9931  0.8383  12.3360  0.6454  0.1128  -11.0320  -9.2560  -0.0607
0.3036  0.2675  12.2881  0.5328  0.5999  -10.9771  -9.3533  -0.1125
0.5649  0.8032  12.3291  0.3075  0.9705  -10.9949  -9.4760  -0.2491
0.7271  0.5307  12.4926  0.2541  0.9927  -11.0476  -9.9536  -0.3686
0.1240  0.6822  12.3751  0.1317  0.8545  -11.0609  -9.3438  -0.1299
0.7275  0.4027  12.3133  0.6959  0.1385  -11.0071  -9.6976  -0.0899
0.9336  0.6494  12.6099  0.1445  0.5600  -11.1089  -9.3763  -0.2249
0.4365  0.5894  12.7137  0.8214  0.9548  -10.8019  -9.1830  -0.1328
0.6144  0.8651  12.2837  0.4517  0.4948  -10.7655  -9.0928  -0.0715
0.9140  0.3787  12.0225  0.5668  0.3796  -11.2273  -9.7332  -inf
0.2817  0.9617  12.6282  0.0151  0.5338  -10.8221  -9.6149  -0.1203
0.1784  0.8811  12.5817  0.7563  0.1405  -10.8582  -9.0519  -0.3893
0.4434  0.4368  12.5793  0.6319  0.7010  -11.1443  -9.7327  -0.0759
0.4659  0.6115  12.6515  0.0831  0.3853  -11.0770  -9.9418  -0.0769
0.9931  0.8383  12.3360  0.6454  0.1128  -11.0320  -9.2560  -0.0607
0.3036  0.2675  12.2881  0.5328  0.5999  -10.9771  -9.3533  -0.1125
0.5649  0.8032  12.3291  0.3075  0.9705  -10.9949  -9.4760  -0.2491
